_id,tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
932,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2016-02-03T00:00:00,1227,LA MATANZA Nº 10,Buenos Aires,Protocolo 21,2016,5,SEDAN 5 PUERTAS,136,VOLKSWAGEN,413,GOL TREND 1.6,1,Privado,Física,LAFERRERE,BUENOS AIRES,Femenino,1954,ARGENTINA,100,6,200
933,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2022-05-06T00:00:00,4001,ALTA GRACIA Nº 1,Córdoba,Nacional,2022,20,PICK-UP,68,TOYOTA,BH,HILUX 4X4 DC SRX 2.8 TDI 6 AT,1,Privado,Física,ANISACATE,CORDOBA,Masculino,1979,ARGENTINA,100,14,200
934,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2003-07-23T00:00:00,4005,CORDOBA Nº 01,Córdoba,Protocolo 21,2003,4,RURAL 5 PTAS,047,FORD,596,ECOSPORT 1.6 L 4X2 XLS,1,Privado,Física,CORDOBA CAPITAL,CORDOBA,Femenino,1986,ARGENTINA,100,14,200
935,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2008-01-23T00:00:00,4006,CORDOBA Nº 02,Córdoba,Protocolo 21,2008,5,SEDAN 5 PTAS,136,VOLKSWAGEN,393,FOX 1.6 ROUTE,1,Privado,Física,CORDOBA,CORDOBA,Masculino,1984,ARGENTINA,100,14,200
936,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2013-07-26T00:00:00,4007,CORDOBA Nº 03,Córdoba,Protocolo 21,2013,4,RURAL 5 PUERTAS,044,FIAT,793,PALIO WEEKEND ATTRACTIVE 1.4 8V,1,Privado,Física,CORDOBA,CORDOBA,Masculino,1966,ARGENTINA,100,14,200
937,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2011-11-21T00:00:00,4008,CORDOBA Nº 04,Córdoba,Protocolo 21,2011,5,SEDAN 5 PTAS,136,VOLKSWAGEN,413,GOL TREND 1.6,1,Privado,Física,CAPITAL,CORDOBA,Masculino,1990,ARGENTINA,100,14,200
938,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2012-09-06T00:00:00,4035,CORDOBA Nº 05,Córdoba,Protocolo 21,2012,5,SEDAN 5 PTAS,044,FIAT,592,UNO FIRE 1242 MPI 8V,1,Privado,Física,AMPL. FERREYRA-CAPITAL.-,CORDOBA,No identificado,1990,ARGENTINA,100,14,200
939,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2005-01-03T00:00:00,4037,CORDOBA Nº 06,Córdoba,Protocolo 21,2005,11,PICK UP,024,CHEVROLET,329,S10 2.8 T.I. (CABINA SIMPLE),1,Privado,Jurídica,CORDOBA,CORDOBA,No aplica,2019,No aplica,100,14,
940,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2001-08-29T00:00:00,13010,MENDOZA Nº 04,Mendoza,Importado,2001,11,PICK UP,024,CHEVROLET,321,S10 2.8 DLX TI(CABINA DOBLE),1,Privado,Física,COLONIA SEGOVIA,MENDOZA,Masculino,1954,ARGENTINA,100,50,200
941,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2010-11-17T00:00:00,4042,CORDOBA Nº 10,Córdoba,Protocolo 21,2010,2,SEDAN 4 PUERTAS,112,RENAULT,771,LOGAN PH2 PACK PLUS 1.6 8V,1,Privado,Física,CORDOBA,CORDOBA,Masculino,1971,ARGENTINA,100,14,200
942,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2009-03-31T00:00:00,4045,CORDOBA Nº 12,Córdoba,Importado,2009,2,SEDAN 4 PTAS,024,CHEVROLET,482,AVEO LS 1.6N MT,1,Privado,Física,CORDOBA,CORDOBA,Masculino,1995,ARGENTINA,100,14,200
943,DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-12-06T00:00:00,2011-12-28T00:00:00,4045,CORDOBA Nº 12,Córdoba,Nacional,2011,22,FURGON,34,PEUGEOT,LJ,PARTNER CONFORT HDI 1.6,1,Privado,Física,CORDOBA,CORDOBA,Femenino,1983,ARGENTINA,100,14,200
